,name,old_price,present_price,discount,due_discount,type_of_device,trademark,series,link
0,Laptop Dell Inspiron 15 3530 i5 1335U/8GB/512GB/120Hz/OfficeHS/Win11 (N3530-i5U085W11BLU),19.990.000₫,17.990.000₫,-10%,23:00 | 06/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-3530-i5-1335u-i5u085w11blu
1,Laptop Dell Vostro 15 3520 i5 1235U/8GB/512GB/120Hz/OfficeHS/Win11 (5M2TT2),19.490.000₫,16.790.000₫,-13%,23:00 | 06/11,Laptop,Dell,Vostro,https://www.thegioididong.com/laptop/dell-vostro-15-3520-i5-5m2tt2
2,Laptop Lenovo Ideapad Slim 3 15IAH8 i5 12450H/16GB/1TB/Win11 (83ER000FVN),16.490.000₫,15.990.000₫ *,empty,23:00 | 06/11,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15iah8-i5-83er000fvn
3,Laptop HP 245 G10 R5 7520U/8GB/512GB/Win11 (8F155PA),14.190.000₫,12.490.000₫ *,-11%,23:00 | 06/11,Laptop,HP,245,https://www.thegioididong.com/laptop/hp-245-g10-r5-8f155pa
4,Laptop Acer Aspire 3 A315 57 379K i3 1005G1/4GB/256GB/Win11 (NX.KAGSV.001),8.490.000₫,7.990.000₫ *,-5%,23:00 | 06/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-3-a315-57-379k-i3-nxkagsv001
5,Laptop Lenovo Legion 5 15IAH7 i5 12500H/8GB/512GB/4GB RTX3050Ti/165Hz/Win11 (82RC003WVN),35.490.000₫,31.590.000₫ *,-10%,23:00 | 06/11,Laptop,Lenovo,Legion,https://www.thegioididong.com/laptop/lenovo-legion-5-15iah7-i5-82rc003wvn
6,Laptop HP Pavilion X360 14 ek1049TU i5 1335U/16GB/512GB/Touch/Pen/Win11 (80R27PA),24.290.000₫,22.690.000₫ *,-6%,23:00 | 06/11,Laptop,HP,Pavilion,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-ek1049tu-i5-80r27pa
7,Laptop Dell Vostro 3430 i5 1335U/8GB/512GB/OfficeHS/Win11 (71011900),18.490.000₫,17.990.000₫,empty,23:00 | 06/11,Laptop,Dell,Vostro,https://www.thegioididong.com/laptop/dell-vostro-3430-i5-71011900
8,Laptop Acer Aspire 7 Gaming A715 43G R8GA R5 5625U/8GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QHDSV.002),21.990.000₫,17.490.000₫ *,-20%,23:00 | 06/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-7-gaming-a715-43g-r8ga-r5-nhqhdsv002
9,Laptop Lenovo IdeaPad 1 15AMN7 R5 7520U/8GB/256GB/Win11 (82VG0061VN),12.690.000₫,9.490.000₫ *,-25%,hơn dự kiến,Laptop,Lenovo,IdeaPad,https://www.thegioididong.com/laptop/lenovo-ideapad-1-15amn7-r5-82vg0061vn
10,Laptop Asus VivoBook X515MA N4020/4GB/256GB/Win11 (BR480W),7.890.000₫,6.490.000₫,-17%,23:00 | 06/11,Laptop,Asus,VivoBook,https://www.thegioididong.com/laptop/asus-vivobook-x515ma-n4020-br480w
11,Laptop Dell Inspiron 16 5620 i5 1235U/8GB/256GB/OfficeHS/Win11 (P1WKN),19.790.000₫,16.990.000₫,-14%,23:00 | 06/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-16-5620-i5-p1wkn
12,Laptop Asus Vivobook 15 OLED A1505ZA i5 12500H/16GB/512GB/Win11 (L1337W),19.990.000₫,16.990.000₫ *,-15%,23:00 | 06/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-15-oled-a1505za-i5-l1337w
13,Laptop Lenovo IdeaPad Slim 5 Light 14ABR8 R5 7530U/16GB/512GB/Win11 (82XS002KVN),17.990.000₫,14.990.000₫ *,-16%,23:00 | 06/11,Laptop,Lenovo,IdeaPad,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-5-light-14abr8-r5-82xs002kvn
14,Laptop Acer Aspire 5 A514 54 5127 i5 1135G7/8GB/512GB/Win11 (NX.A28SV.007),15.490.000₫,14.190.000₫ *,-8%,23:00 | 06/11,Laptop,Acer,Aspire,https://www.thegioididong.com/laptop/acer-aspire-a514-54-5127-i5-nxa28sv007
15,Laptop Lenovo Ideapad 3 15IAU7 i3 1215U/8GB/512GB/Win11 (82RK001MVN),14.690.000₫,9.690.000₫ *,-34%,23:00 | 06/11,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-3-15iau7-i3-82rk001mvn
16,Laptop Apple MacBook Pro 13 inch M2 2022 8-core CPU/8GB/256GB/10-core GPU (MNEH3SA/A),30.490.000₫,29.890.000₫,empty,23:00 | 06/11,Laptop,MacBook,Pro,https://www.thegioididong.com/laptop/apple-macbook-pro-13-inch-m2-2022
17,Laptop Dell Inspiron 16 5620 i7 1255U/8GB/512GB/OfficeHS/Win11 (N6I7110W1),25.190.000₫,22.990.000₫,-8%,23:00 | 06/11,Laptop,Dell,Inspiron,https://www.thegioididong.com/laptop/dell-inspiron-16-5620-i7-n6i7110w1
18,Laptop Asus Vivobook 15 X1504VA i7 1355U/16GB/512GB/Win11 (NJ023W),22.990.000₫,19.490.000₫ *,-15%,23:00 | 06/11,Laptop,Asus,Vivobook,https://www.thegioididong.com/laptop/asus-vivobook-15-x1504va-nj023w
19,Laptop Lenovo Ideapad Gaming 3 15ACH6 R5 5500H/16GB/512GB/4GB RTX2050/144Hz/Win11 (82K2027PVN),18.990.000₫,16.990.000₫ *,-10%,hơn dự kiến,Laptop,Lenovo,Ideapad,https://www.thegioididong.com/laptop/lenovo-ideapad-gaming-3-15ach6-r5-82k2027pvn
